"","SN","Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","Asc_examined","Asc_positive","Asc_prevalence","TT_examined","TT_positive","TT_prevalence"
"27",24301,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Guie Town Public School",NA,-10.85067,6.75569,3,NA,"Mapping",2013,10,14,30,6,0.2,30,14,0.466666667,30,1,0.033333333
"28",24302,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"H. Q. Taylor Elem. & Jr. High Sch",NA,-10.81474,6.87509,3,NA,"Mapping",2013,10,13,30,0,0,30,2,0.066666667,30,1,0.033333333
"29",24303,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Hill Town Public School",NA,-10.77649,6.6215,3,NA,"Mapping",2013,10,14,30,9,0.3,30,10,0.333333333,30,0,0
"30",24304,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Jawajeh Public School",NA,-10.8869572,6.7337866,1,NA,"Mapping",2013,10,13,30,5,0.166666667,30,8,0.266666667,30,3,0.1
"31",24305,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"John L. Parvola Elem Public Sch",NA,-10.81469,6.86207,3,NA,"Mapping",2013,10,14,30,1,0.033333333,30,2,0.066666667,30,0,0
"32",24306,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Julijuah Public School",NA,-10.7568234,6.6734761,1,NA,"Mapping",2013,10,14,30,5,0.166666667,30,6,0.2,30,0,0
"33",24307,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Kamara Town Public School",NA,-10.85404,6.89399,3,NA,"Mapping",2013,10,12,30,2,0.066666667,30,8,0.266666667,30,0,0
"34",24308,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Kartumu Y. Boakai Sch",NA,-10.88712,6.73478,3,NA,"Mapping",2013,10,14,30,1,0.033333333,30,4,0.133333333,30,0,0
"35",24309,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Kpagbola Public School",NA,-10.98874,6.60115,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,5,0.166666667,30,0,0
"36",24310,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Levekai Public School",NA,-10.72616,6.62621,3,NA,"Mapping",2013,10,14,30,7,0.233333333,30,7,0.233333333,30,0,0
"37",24311,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Levuman Public School",NA,-10.84174,6.51167,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,5,0.166666667,30,0,0
"38",24312,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Mae David Public School",NA,-10.69636,6.63983,3,NA,"Mapping",2013,10,14,30,6,0.2,30,7,0.233333333,30,0,0
"39",24313,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Maher Public School",NA,-10.84373,6.78444,3,NA,"Mapping",2013,10,14,30,1,0.033333333,30,4,0.133333333,30,0,0
"40",24314,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Mecca",39173,"Bomi",26818,"Mecca Public School",NA,-10.58037,6.82919,3,NA,"Mapping",2013,10,14,30,3,0.1,30,6,0.2,30,0,0
"41",24315,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Bopolu",39184,"Bomi",26818,"Memmeh Town Public School",NA,-10.5786,6.87286,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,8,0.266666667,30,1,0.033333333
"42",24316,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Monnoh Public School",NA,-10.8123464,6.6651827,1,NA,"Mapping",2013,10,14,30,8,0.266666667,30,4,0.133333333,30,0,0
"43",24317,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Mecca",39173,"Bomi",26818,"Muenneh Public School",NA,-10.6194,6.75074,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,6,0.2,30,0,0
"44",24318,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Olivia S. Washington School",NA,-10.87988,6.64735,3,NA,"Mapping",2013,10,14,30,0,0,30,2,0.066666667,30,0,0
"45",24319,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Mecca",39173,"Bomi",26818,"Richard B. Devine",NA,-10.65405,6.70431,3,NA,"Mapping",2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
"46",24320,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"S.m. Dowley Public School",NA,-10.69475,6.65095,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,5,0.166666667,30,0,0
"47",24321,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Sass Town Public School",NA,-10.89024,6.58338,3,NA,"Mapping",2013,10,13,30,4,0.133333333,30,6,0.2,30,3,0.1
"48",24322,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Suehn Public School",NA,-10.7066165,6.6181596,1,NA,"Mapping",2013,10,14,30,4,0.133333333,30,7,0.233333333,30,0,0
"49",24323,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Sumo Town Public School",NA,-10.72968,6.64182,3,NA,"Mapping",2013,10,14,30,0,0,30,1,0.033333333,30,0,0
"50",24324,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Tarweh R. William Com. Sch",NA,-10.81855,6.85334,3,NA,"Mapping",2013,10,14,30,9,0.3,30,9,0.3,30,1,0.033333333
"51",24325,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Teh Public School",NA,-10.66815,6.62101,3,NA,"Mapping",2013,10,14,30,6,0.2,30,8,0.266666667,30,0,0
"52",24326,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Mecca",39173,"Bomi",26818,"V.k. Yeangbay Public School",NA,-10.64316,6.73006,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,6,0.2,30,0,0
"53",24327,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Vincent Ward Public School",NA,-10.82079,6.50859,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,6,0.2,30,0,0
"54",24328,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Vortor Public School",NA,-11.03407,6.61784,3,NA,"Mapping",2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
"55",24329,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Weajor Public School",NA,-10.9278,6.6000299,3,NA,"Mapping",2013,10,14,30,3,0.1,30,3,0.1,30,0,0
"56",24330,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Weakama Public School",NA,-10.82345,6.84124,3,NA,"Mapping",2013,10,14,30,1,0.033333333,30,2,0.066666667,30,0,0
"57",24331,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Weamoi Public School",NA,-10.81732,6.68108,3,NA,"Mapping",2013,10,14,30,6,0.2,30,6,0.2,30,0,0
"58",24332,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Yormu Public School",NA,-10.93974,6.61096,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,3,0.1,30,0,0
"59",24333,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Zordee Public School",NA,-10.7823775,6.6766989,1,NA,"Mapping",2013,10,14,30,4,0.133333333,30,5,0.166666667,30,0,0
"60",24334,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Zuwah Public School",NA,-10.71175,6.65624,3,NA,"Mapping",2013,10,14,30,9,0.3,30,7,0.233333333,30,0,0
"61",24336,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"a g Community",NA,-9.45948,7.1165,3,NA,"Mapping",2012,10,14,30,14,0.466666667,30,7,0.233333333,30,8,0.266666667
"62",24340,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Suakoko",39180,"Bong",26819,"Assembly of God Community School",NA,-9.56379,7.01037,3,NA,"Mapping",2012,10,14,30,8,0.266666667,30,5,0.166666667,30,2,0.066666667
"63",24342,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Todee",39218,"Bong",26819,"Bandi Community School",NA,-10.3659444,6.8006111,3,NA,"Mapping",2012,11,14,30,2,0.066666667,30,4,0.133333333,30,1,0.033333333
"64",24346,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Zota",39181,"Bong",26819,"Beletanai Community School",NA,-9.43599,7.265354,3,NA,"Mapping",2012,10,14,30,13,0.433333333,30,5,0.166666667,30,9,0.3
"65",24347,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Sanayea",39179,"Bong",26819,"Beletanda Public School",NA,-9.79261,7.11383,3,NA,"Mapping",2012,10,14,30,24,0.8,30,13,0.433333333,30,11,0.366666667
"66",24349,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Panta-Kpa",39177,"Bong",26819,"Belleganla Public School",NA,-9.17929,6.89436,3,NA,"Mapping",2012,10,14,30,11,0.366666667,30,9,0.3,30,8,0.266666667
"67",24350,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Fuamah",39174,"Bong",26819,"Bong Central High",NA,-10.36052778,6.812777778,3,NA,"Mapping",2012,10,14,30,3,0.1,30,3,0.1,30,1,0.033333333
"68",24351,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Bong Community School",NA,-9.46993,7.00614,3,NA,"Mapping",2012,10,14,30,4,0.133333333,30,4,0.133333333,30,1,0.033333333
"69",24352,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Salala",39178,"Bong",26819,"Botoe Barclay Emementary School",NA,-9.9890833,6.8775833,3,NA,"Mapping",2012,11,14,30,3,0.1,30,0,0,30,1,0.033333333
"70",24353,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Fuamah",39174,"Bong",26819,"Botoe Barclay Public School",NA,-10.36263888,6.80797222,3,NA,"Mapping",2012,10,14,30,3,0.1,30,2,0.066666667,30,0,0
"71",24354,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Salala",39178,"Bong",26819,"Boyea Public School",NA,-10.00349,6.92918,3,NA,"Mapping",2012,10,14,30,13,0.433333333,30,9,0.3,29,10,0.344827586
"72",24355,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Cammue Donkpoh Public School",NA,-9.4575596,6.8318,3,NA,"Mapping",2012,10,14,30,7,0.233333333,30,13,0.433333333,30,9,0.3
"73",24359,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Panta-Kpa",39177,"Bong",26819,"Charlie K. Too Elem. & Jr. High",NA,-9.24275,6.85224,3,NA,"Mapping",2012,10,14,30,12,0.4,30,8,0.266666667,30,9,0.3
"74",24360,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Chief Conpound Public School",NA,-9.47972,6.97491,3,NA,"Mapping",2012,10,14,30,10,0.333333333,30,5,0.166666667,30,0,0
"75",24361,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Fuamah",39174,"Bong",26819,"Christain T. Norma Elementary School",NA,-10.36047,6.812917,3,NA,"Mapping",2012,11,14,30,1,0.033333333,30,3,0.1,30,1,0.033333333
"76",24362,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Christian Delplan Bible Sch",NA,-9.44534,7.18847,3,NA,"Mapping",2012,10,14,29,9,0.310344828,29,6,0.206896552,29,2,0.068965517
"77",24363,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Salala",39178,"Bong",26819,"Christian Foundation Public School",NA,-9.938583,6.808528,3,NA,"Mapping",2012,10,14,29,2,0.068965517,30,2,0.066666667,30,0,0
"78",24367,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Suakoko",39180,"Bong",26819,"Cuttington Campus",NA,-9.5538568,7.0404482,1,NA,"Mapping",2012,10,14,29,13,0.448275862,29,10,0.344827586,29,3,0.103448276
"79",24368,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"D. T. Woah-Tee",NA,-9.40309,7.13281,3,NA,"Mapping",2012,10,14,29,17,0.586206897,29,19,0.655172414,29,9,0.310344828
"80",24369,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Fuamah",39174,"Bong",26819,"D.elaine Baptist School",NA,-10.36339,6.808139,3,NA,"Mapping",2012,11,14,30,4,0.133333333,30,5,0.166666667,30,2,0.066666667
"81",24371,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Panta-Kpa",39177,"Bong",26819,"David F. Bee Elem.",NA,-9.2211,7.08896,3,NA,"Mapping",2012,10,13,30,12,0.4,30,6,0.2,30,3,0.1
"82",24372,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Fuamah",39174,"Bong",26819,"Dobli Island Elementary School",NA,-10.3727778,6.9069444,1,NA,"Mapping",2012,11,14,30,9,0.3,30,5,0.166666667,30,3,0.1
"83",24373,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Salala",39178,"Bong",26819,"Donfah Elem. School",NA,-9.8208399,6.84653,3,NA,"Mapping",2012,10,14,30,14,0.466666667,30,10,0.333333333,30,8,0.266666667
"84",24374,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Dorothy Cooper Kg & Primary School",NA,-9.47837,7.00505,3,NA,"Mapping",2012,10,14,30,8,0.266666667,30,5,0.166666667,30,0,0
"85",24376,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Salala",39178,"Bong",26819,"E.j.yancy Public School",NA,-9.936333,6.816944,3,NA,"Mapping",2012,10,14,30,2,0.066666667,30,5,0.166666667,30,3,0.1
"86",24377,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Kokoyah",39176,"Bong",26819,"Faeyawoi Community Public School",NA,-9.36119,6.68567,3,NA,"Mapping",2012,10,14,30,12,0.4,30,8,0.266666667,30,9,0.3
"87",24382,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Panta-Kpa",39177,"Bong",26819,"Fantee Public School",NA,-9.2363,6.80359,3,NA,"Mapping",2012,10,14,29,17,0.586206897,29,6,0.206896552,29,7,0.24137931
"88",24383,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Fuamah",39174,"Bong",26819,"Fuamah Industrial Academy",NA,-10.2151578,6.9391934,1,NA,"Mapping",2012,11,14,30,4,0.133333333,30,6,0.2,30,3,0.1
"89",24384,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Suakoko",39180,"Bong",26819,"G. Tolokpalai Public School",NA,-9.65694,6.80356,3,NA,"Mapping",2012,10,13,30,17,0.566666667,30,16,0.533333333,30,17,0.566666667
"90",24388,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Suakoko",39180,"Bong",26819,"Gaita Public School",NA,-9.67452,6.88829,3,NA,"Mapping",2012,11,14,30,16,0.533333333,30,11,0.366666667,30,9,0.3
"91",24389,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Salala",39178,"Bong",26819,"Galima G. Baysah Elementary School",NA,-10.01806,6.767583,3,NA,"Mapping",2012,10,14,30,2,0.066666667,30,1,0.033333333,30,0,0
"92",24390,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"District #3",39189,"Bong",26819,"Gargarblee Public School",NA,-9.37187,6.60387,3,NA,"Mapping",2012,10,14,30,12,0.4,30,7,0.233333333,30,12,0.4
"93",24391,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Suakoko",39180,"Bong",26819,"Garmue Public School",NA,-9.5761,6.943,3,NA,"Mapping",2012,10,12,30,12,0.4,30,7,0.233333333,30,6,0.2
"94",24392,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Suakoko",39180,"Bong",26819,"Garyea Public School",NA,-9.6769304,6.74893,3,NA,"Mapping",2012,10,14,30,12,0.4,30,8,0.266666667,30,2,0.066666667
"95",24393,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Sanayea",39179,"Bong",26819,"Gbanbay Giddings Public School",NA,-10.05778,6.99234,3,NA,"Mapping",2012,10,14,30,10,0.333333333,30,8,0.266666667,30,4,0.133333333
"96",24394,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Gbarney Public Sch",NA,-9.4377,7.08718,3,NA,"Mapping",2012,10,14,30,18,0.6,30,8,0.266666667,30,6,0.2
"97",24395,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Kokoyah",39176,"Bong",26819,"Gbawehn Mission",NA,-9.3996496,6.62641,3,NA,"Mapping",2012,10,14,29,7,0.24137931,29,6,0.206896552,29,8,0.275862069
"98",24396,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Gbelekpalai Public School",NA,-9.46459,7.03987,3,NA,"Mapping",2012,10,14,30,14,0.466666667,30,7,0.233333333,30,5,0.166666667
"99",24397,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Gbenequelleh Elem/Jr High School",NA,-9.46073,6.74131,3,NA,"Mapping",2012,10,14,30,9,0.3,30,4,0.133333333,30,8,0.266666667
"100",24398,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Jorquelleh",39175,"Bong",26819,"Gbenyanyea Public School",NA,-9.4430103,6.80445,3,NA,"Mapping",2012,10,14,22,16,0.727272727,22,6,0.272727273,22,9,0.409090909
"101",24399,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Panta-Kpa",39177,"Bong",26819,"Gboawuta Public School",NA,-9.2299604,6.97616,3,NA,"Mapping",2012,10,14,30,14,0.466666667,30,11,0.366666667,30,5,0.166666667
"102",24400,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Sanayea",39179,"Bong",26819,"Gbogbota Pub. School",NA,-9.8611803,7.08077,3,NA,"Mapping",2012,10,15,30,17,0.566666667,30,9,0.3,30,9,0.3
"103",24401,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Zota",39181,"Bong",26819,"Gbokew Kollie Public Sch.",NA,-9.3533335,7.2611108,3,NA,"Mapping",2012,10,14,29,13,0.448275862,29,11,0.379310345,28,4,0.142857143
"104",24402,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Sanayea",39179,"Bong",26819,"Gbonota Public School",NA,-9.780727,7.118689,1,NA,"Mapping",2012,10,14,30,15,0.5,30,11,0.366666667,30,8,0.266666667
"105",24403,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bong",2747,"Suakoko",39180,"Bong",26819,"Gbornokalasue Elem. School",NA,-9.64026,7.00731,3,NA,"Mapping",2012,10,14,30,8,0.266666667,30,11,0.366666667,30,5,0.166666667
